,Channels,long,lat,arrival time
100,530.0,-121.88634192,37.3383096437,1352.88273023
101,531.0,-121.886335196,37.3383130652,1352.81194427
102,532.0,-121.886328411,37.3383165169,1352.74056914
103,533.0,-121.886321859,37.33831985,1352.67157523
104,534.0,-121.88631525,37.3383232132,1352.60198808
105,535.0,-121.886308976,37.3383264049,1352.53596123
106,536.0,-121.88630258,37.3383296592,1352.4686301
107,537.0,-121.886296356,37.3383328258,1352.40311814
108,538.0,-121.886290052,37.3383360331,1352.33676764
109,539.0,-121.886283874,37.3383391759,1352.27175196
110,540.0,-121.886277704,37.3383423154,1352.20677291
111,541.0,-121.886269878,37.3383462973,1352.1244003
112,542.0,-121.886261298,37.3383506611,1352.03779495
113,543.0,-121.886252461,37.338355069,1351.94957277
114,544.0,-121.886244324,37.3383590636,1351.8639281
115,545.0,-121.886236375,37.3383629662,1351.77718977
116,546.0,-121.886228821,37.3383666746,1351.69477677
117,547.0,-121.88622124,37.338370396,1351.61208522
118,548.0,-121.8862137,37.3383740974,1351.52985369
119,549.0,-121.886206128,37.3383778142,1351.44725651
120,550.0,-121.886198648,37.3383814864,1351.36562293
121,551.0,-121.886191962,37.3383847691,1351.29265804
122,552.0,-121.886185197,37.3383880899,1351.21887441
123,553.0,-121.88617809,37.3383915791,1351.14137628
124,554.0,-121.886170538,37.338395286,1351.05993616
125,555.0,-121.886163027,37.3383989542,1350.98041126
126,556.0,-121.886155969,37.3384023423,1350.89951026
127,557.0,-121.88614912,37.3384056302,1350.81730704
128,558.0,-121.886141473,37.3384093009,1350.72554244
129,559.0,-121.886133429,37.3384131617,1350.62902752
130,560.0,-121.886125215,37.3384171048,1350.53047166
131,561.0,-121.886117273,37.3384209165,1350.43516458
132,562.0,-121.886109006,37.3384248847,1350.33594427
133,563.0,-121.886101072,37.3384286929,1350.24074973
134,564.0,-121.886093022,37.3384325571,1350.14416038
135,565.0,-121.886086478,37.3384356866,1350.0501478
136,566.0,-121.886081293,37.33843836,1349.95832345
137,567.0,-121.886075556,37.338441575,1349.87578923
138,568.0,-121.886068579,37.3384454663,1349.79528974
139,569.0,-121.886061451,37.3384494414,1349.71305978
140,570.0,-121.886054533,37.3384532995,1349.63321225
141,571.0,-121.886047325,37.3384573197,1349.55005023
142,572.0,-121.88604023,37.338461276,1349.46821203
143,573.0,-121.886033093,37.3384652565,1349.38582935
144,574.0,-121.886025865,37.3384692878,1349.30240906
145,575.0,-121.886018674,37.3384732982,1349.21946926
146,576.0,-121.886011472,37.3384773143,1349.13637399
147,577.0,-121.886002861,37.3384821031,1349.05230185
148,578.0,-121.885991757,37.3384878283,1348.96924899
149,579.0,-121.885981248,37.3384926676,1348.883731
150,580.0,-121.885973017,37.3384964342,1348.80002741
151,581.0,-121.885964618,37.3385002776,1348.71460066
152,582.0,-121.885956302,37.3385040834,1348.63003724
153,583.0,-121.885947992,37.3385078862,1348.54555065
154,584.0,-121.885939508,37.3385117686,1348.45927612
155,585.0,-121.885931302,37.338515524,1348.37580641
156,586.0,-121.885922626,37.3385194946,1348.2875734
157,587.0,-121.88591425,37.3385233273,1348.20240528
158,588.0,-121.885905642,37.3385272664,1348.11485556
159,589.0,-121.885897761,37.338530871,1348.02881864
160,590.0,-121.885890677,37.3385342266,1347.94450212
161,591.0,-121.885882599,37.3385381222,1347.85462715
162,592.0,-121.885874551,37.3385420025,1347.76839854
163,593.0,-121.885866165,37.3385460462,1347.67854754
164,594.0,-121.885857876,37.3385500423,1347.58976025
165,595.0,-121.885849386,37.3385541358,1347.49877894
166,596.0,-121.885841048,37.3385581558,1347.40945061
167,597.0,-121.885832605,37.3385622265,1347.31898486
168,598.0,-121.885824212,37.3385662735,1347.2290539
169,599.0,-121.885815882,37.3385702894,1347.13980841
170,600.0,-121.885807369,37.3385743943,1347.04835749
171,601.0,-121.885798694,37.3385785817,1346.95796365
172,602.0,-121.885789607,37.3385829737,1346.86687183
173,603.0,-121.885780462,37.3385873938,1346.77543202
174,604.0,-121.885771399,37.3385917742,1346.68479744
175,605.0,-121.885762128,37.3385962553,1346.59207278
176,606.0,-121.885752981,37.3386006764,1346.50060171
177,607.0,-121.88574402,37.3386050075,1346.4110092
178,608.0,-121.885735442,37.3386091533,1346.32523624
179,609.0,-121.885726711,37.3386133731,1346.23790469
180,610.0,-121.885717921,37.3386176219,1346.15001825
181,611.0,-121.885708996,37.3386219354,1346.06160632
182,612.0,-121.885699695,37.3386264098,1345.97256326
183,613.0,-121.885690197,37.3386309327,1345.88378959
184,614.0,-121.885680828,37.3386353946,1345.79456079
185,615.0,-121.885671477,37.3386398472,1345.70551456
186,616.0,-121.885663246,37.3386437668,1345.62712766
187,617.0,-121.885654132,37.3386481065,1345.54031098
188,618.0,-121.885644765,37.3386525674,1345.45109451
189,619.0,-121.885637889,37.3386558415,1345.38563995
190,620.0,-121.885628765,37.3386601862,1345.29874123
191,621.0,-121.885619363,37.3386646629,1345.20919903
192,622.0,-121.885610193,37.3386690297,1345.12185818
193,623.0,-121.885601381,37.3386732244,1345.03293169
194,624.0,-121.885593251,37.3386772159,1344.94461152
195,625.0,-121.885584433,37.3386816258,1344.85318878
196,626.0,-121.885575464,37.3386861106,1344.76350147
197,627.0,-121.885566358,37.3386906633,1344.67246271
198,628.0,-121.885557321,37.338695182,1344.58209323
199,629.0,-121.885548212,37.3386997362,1344.49099597
200,630.0,-121.885539093,37.338704296,1344.3998002
201,631.0,-121.885529995,37.3387088449,1344.30883227
202,632.0,-121.885520893,37.3387133956,1344.21780285
203,633.0,-121.885512039,37.338717823,1344.12925854
204,634.0,-121.885505714,37.3387209852,1344.06603935
205,635.0,-121.885499381,37.3387241516,1344.00269648
206,636.0,-121.885492891,37.3387273967,1343.93978921
207,637.0,-121.885486534,37.3387305751,1343.87827145
208,638.0,-121.885479954,37.3387338656,1343.81460054
209,639.0,-121.885473577,37.3387370534,1343.75288545
210,640.0,-121.885467087,37.3387402992,1343.69007009
211,641.0,-121.885460536,37.338743574,1343.62669235
212,642.0,-121.885453987,37.3387468488,1343.56327969
213,643.0,-121.885447405,37.3387501402,1343.49960054
214,644.0,-121.88544089,37.3387533977,1343.43657368
215,645.0,-121.885434203,37.3387567406,1343.37185789
216,646.0,-121.885427595,37.3387600447,1343.30788523
217,647.0,-121.885420892,37.3387633964,1343.24304459
218,648.0,-121.885414157,37.3387667637,1343.17785597
219,649.0,-121.885407154,37.3387702653,1343.11007901
220,650.0,-121.885399986,37.338773849,1343.0428359
221,651.0,-121.885392285,37.338777652,1342.97386954
222,652.0,-121.885384726,37.3387813101,1342.90419881
223,653.0,-121.88537756,37.338784778,1342.83485047
224,654.0,-121.885370243,37.3387883182,1342.76404862
225,655.0,-121.885363109,37.3387917705,1342.69499242
226,656.0,-121.885355153,37.3387956199,1342.61800521
